videoID,url,timestamp,caption,matching_score,desirable_filtering,shot_boundary_detection
dBOyoqD9slc,https://www.youtube.com/watch?v=dBOyoqD9slc,"[['0:00:01.468', '0:00:13.446'], ['0:00:25.859', '0:01:13.907'], ['0:07:07.293', '0:07:11.330']]","['A painting of a landscape with mountains, trees, a river and a waterfall.', 'A person is painting a landscape painting of a mountain with a waterfall in the foreground.', 'A black screen with the words ""step by step instructional video please go to my websites"".']","[0.466552734375, 0.469970703125, 0.469482421875]","['desirable', 'desirable', '1_still_foreground_image']","[[['0:00:00.000', '0:00:11.945']], [['0:00:00.000', '0:00:48.014']], [['0:00:00.000', '0:00:04.004']]]"
dFRev5g1SBU,https://www.youtube.com/watch?v=dFRev5g1SBU,"[['0:00:04.004', '0:00:36.136'], ['0:01:03.797', '0:01:09.969'], ['0:01:26.519', '0:01:30.156']]","['A potted plant filled with green tomatoes next to a wall.', 'There are several potted plants on a shelf, including tomatoes, peppers, and herbs.', 'There are two potted tomato plants growing in a container on a windowsill.']","[0.457275390625, 0.4404296875, 0.459716796875]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:32.098']], [['0:00:00.000', '0:00:06.139']], [['0:00:00.000', '0:00:03.603']]]"
dLiuYRq5Y8Q,https://www.youtube.com/watch?v=dLiuYRq5Y8Q,"[['0:01:58.533', '0:02:02.533'], ['0:02:09.033', '0:02:57.033'], ['0:03:12.533', '0:03:48.533']]","['A person is mixing something in a bowl.', 'A person is mixing ingredients in a bowl with a spoon.', 'A person is adding toppings to a casserole in a glass dish.']","[0.43896484375, 0.453857421875, 0.44677734375]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:03.983']], [['0:00:00.000', '0:00:47.983']], [['0:00:00.000', '0:00:35.983']]]"
dPIaEWd8zf4,https://www.youtube.com/watch?v=dPIaEWd8zf4,"[['0:00:11.511', '0:00:39.372'], ['0:01:17.477', '0:01:36.563'], ['0:04:49.022', '0:04:58.564']]","['Person sublimates on a white background.', 'A person in blue gloves pouring something into a small dish.', 'A beaker filled with purple liquid sitting on top of a block.']","[0.450927734375, 0.4326171875, 0.447998046875]","['desirable', 'desirable', '0_low_desirable_score']","[[['0:00:00.000', '0:00:02.202'], ['0:00:02.235', '0:00:04.471'], ['0:00:04.504', '0:00:11.978'], ['0:00:12.012', '0:00:27.827']], [['0:00:00.000', '0:00:19.052']], [['0:00:00.000', '0:00:09.509']]]"
dRxzR36Kvtc,https://www.youtube.com/watch?v=dRxzR36Kvtc,"[['0:00:06.239', '0:00:16.416'], ['0:00:59.092', '0:01:06.800'], ['0:02:11.397', '0:02:19.639']]","['There is a yellow flower in the forest with dew drops on it.', 'A woman pushing a wheel barrow full of mulch.', 'Four different types of wheel barrows on a yellow background.']","[0.45849609375, 0.466796875, 0.50146484375]","['desirable', 'desirable', '0_low_desirable_score']","[[['0:00:00.000', '0:00:00.934'], ['0:00:01.001', '0:00:10.176']], [['0:00:00.000', '0:00:07.674']], [['0:00:00.000', '0:00:08.241']]]"
dSZhy8jz-6o,https://www.youtube.com/watch?v=dSZhy8jz-6o,"[['0:02:28.414', '0:02:32.152'], ['0:04:50.490', '0:04:52.558'], ['0:05:42.008', '0:05:44.310']]","['There are two young women sitting at a table with wine glasses and candles in the background.', 'Two women sitting at a table with wine glasses in front of them.', 'A couple of women sitting next to each other in a room.']","[0.467041015625, 0.458251953125, 0.43505859375]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:03.703']], [['0:00:00.000', '0:00:01.468'], ['0:00:01.501', '0:00:02.035']], [['0:00:00.000', '0:00:02.268']]]"
dVSnsLtb288,https://www.youtube.com/watch?v=dVSnsLtb288,"[['0:03:20.900', '0:03:29.709'], ['0:03:46.893', '0:04:07.480'], ['0:04:16.022', '0:05:04.070']]","['The baker is using a knife to spread cream on a multi-tiered cake.', 'A person is decorating a cake with white frosting.', 'A man in a white coat is decorating a cake.']","[0.462646484375, 0.44775390625, 0.446533203125]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:08.808']], [['0:00:00.000', '0:00:20.553']], [['0:00:00.000', '0:00:48.014']]]"
dWahOcena70,https://www.youtube.com/watch?v=dWahOcena70,"[['0:01:02.862', '0:01:07.934'], ['0:01:30.623', '0:01:39.833'], ['0:01:41.434', '0:01:45.472']]","['A person putting meat into a pot of vegetables.', 'A person is cooking meat in a slow cooker with spices and a wooden spoon.', 'The pressure cooker is heating up and the smoke is coming out.']","[0.440673828125, 0.466796875, 0.45751953125]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:02.669'], ['0:00:02.702', '0:00:05.038']], [['0:00:00.000', '0:00:09.209']], [['0:00:00.000', '0:00:04.004']]]"
dcwHp7FRtLs,https://www.youtube.com/watch?v=dcwHp7FRtLs,"[['0:04:20.960', '0:04:24.964'], ['0:05:24.257', '0:05:27.694'], ['0:10:54.220', '0:11:00.326']]","['A man wearing a hat making a gesture with his hands.', 'A man and a woman are standing next to each other, looking at each other.', 'A man is talking to the camera in his living room.']","[0.43505859375, 0.451171875, 0.45166015625]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:03.970']], [['0:00:00.000', '0:00:03.403']], [['0:00:00.000', '0:00:06.072']]]"
ddpM2dQ1bcM,https://www.youtube.com/watch?v=ddpM2dQ1bcM,"[['0:00:05.000', '0:00:08.880'], ['0:01:45.280', '0:01:50.880'], ['0:01:51.800', '0:01:54.080']]","['A sailboat is sailing in the ocean with a city in the background.', 'A woman in a red and grey shirt standing next to a group of people.', 'A man and a woman are standing next to each other at an event.']","[0.466796875, 0.443115234375, 0.442626953125]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:03.840']], [['0:00:00.000', '0:00:05.560']], [['0:00:00.000', '0:00:02.240']]]"
